zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
95223,38.4644,-119.85939,Arnold,CA,California,TRUE,,2934,2.7,6003,Alpine,"{""06003"": 80.95, ""06009"": 17.26, ""06109"": 1.79}",Alpine|Calaveras|Tuolumne,06003|06009|06109,FALSE,FALSE,America/Los_Angeles
95224,38.22706,-120.32562,Avery,CA,California,TRUE,,265,8.9,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95225,38.20399,-120.86488,Burson,CA,California,TRUE,,1224,48.8,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95226,38.23377,-120.86232,Campo Seco,CA,California,TRUE,,0,0,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95227,38.20678,-121.04615,Clements,CA,California,TRUE,,1036,10.5,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95228,37.94669,-120.68067,Copperopolis,CA,California,TRUE,,4880,20.6,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95230,37.97361,-120.86492,Farmington,CA,California,TRUE,,495,1.4,6099,Stanislaus,"{""06099"": 48.49, ""06009"": 30.08, ""06077"": 21.42}",Stanislaus|Calaveras|San Joaquin,06099|06009|06077,FALSE,FALSE,America/Los_Angeles
95231,37.87331,-121.29272,French Camp,CA,California,TRUE,,4339,155.6,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95232,38.36051,-120.57722,Glencoe,CA,California,TRUE,,151,11.8,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95233,38.18622,-120.36859,Hathaway Pines,CA,California,TRUE,,204,48.9,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95236,38.04218,-121.03176,Linden,CA,California,TRUE,,4506,13.6,6077,San Joaquin,"{""06077"": 98.09, ""06009"": 1.91}",San Joaquin|Calaveras,06077|06009,FALSE,FALSE,America/Los_Angeles
95237,38.15953,-121.14845,Lockeford,CA,California,TRUE,,3753,195.4,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95240,38.1177,-121.1627,Lodi,CA,California,TRUE,,50682,287,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95242,38.13204,-121.38875,Lodi,CA,California,TRUE,,27860,118.4,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95245,38.30189,-120.61975,Mokelumne Hill,CA,California,TRUE,,3227,17.8,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95246,38.23662,-120.49589,Mountain Ranch,CA,California,TRUE,,1701,9.5,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95247,38.14264,-120.44359,Murphys,CA,California,TRUE,,3682,30.2,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95248,38.32433,-120.46051,Rail Road Flat,CA,California,TRUE,,66,0.8,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95249,38.18986,-120.61784,San Andreas,CA,California,TRUE,,4696,22.3,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95251,38.08024,-120.45769,Vallecito,CA,California,TRUE,,684,21.6,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95252,38.15871,-120.84214,Valley Springs,CA,California,TRUE,,13851,46.9,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95253,38.14725,-121.19525,Victor,CA,California,TRUE,,526,120.6,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95254,38.20323,-120.95857,Wallace,CA,California,TRUE,,316,25,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95255,38.42055,-120.47506,West Point,CA,California,TRUE,,1755,15.4,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95257,38.38068,-120.45255,Wilseyville,CA,California,TRUE,,427,14,6009,Calaveras,"{""06009"": 100}",Calaveras,6009,FALSE,FALSE,America/Los_Angeles
95258,38.16811,-121.31011,Woodbridge,CA,California,TRUE,,3868,463.9,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95301,37.30634,-120.65119,Atwater,CA,California,TRUE,,42374,215.1,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95303,37.4714,-120.67744,Ballico,CA,California,TRUE,,876,11.7,6047,Merced,"{""06047"": 100}",Merced,6047,FALSE,FALSE,America/Los_Angeles
95304,37.6773,-121.3948,Tracy,CA,California,TRUE,,14818,37.3,6077,San Joaquin,"{""06077"": 100}",San Joaquin,6077,FALSE,FALSE,America/Los_Angeles
95305,37.8306,-120.34821,Big Oak Flat,CA,California,TRUE,,203,1.3,6109,Tuolumne,"{""06109"": 100}",Tuolumne,6109,FALSE,FALSE,America/Los_Angeles
95306,37.36015,-120.11581,Catheys Valley,CA,California,TRUE,,869,2,6043,Mariposa,"{""06043"": 100}",Mariposa,6043,FALSE,FALSE,America/Los_Angeles
